CLO Identifier (auto),CLO Number (edit),"Bloom's Taxonomy (R=Remembering, U=Understanding, Ap=Applying, An=Analyzing, E=Evaluating, C=Creating)","CLO Level (C=core, I=intermediate, A=advanced) (edit)",WeBWork Level Classification of CLO,Course Learning Outcome (CLO),Notes / topics / questions,Week / Meeting,WeBWork 1 (question name and type),WeBWork 2  (question name and type), WeBWork 3  (question name and type) ... 2 Q's each should be enough for most outcomes ...,WeBWork 4
13-0-2-C-C,13-0-2,C,C,N/A,"demonstrate the relationship between differentiation and integration by using examples (e-g-, f(x) = x, f(x) = x^2)",,,13-0-2-C-C-cpt-anti-der-int-jms-1.pg; function; evaluate explicit antierivative given in terms of integrals; evaluate derivative of integral; integrand is binomial quadratic or linear,13-0-2-C-C-cpt-anti-der-int-jms-2.pg; same question with trig and exponential,,
13-1-1-Ap-C,13-1-1,Ap,C,3,apply the FTC to evaluate definite integrals of polynomial functions,,,13-1-1-Ap-C-poly-definite-jms-1.pg; numeric; evaluate two definite integrals of polynomial functions; one binomial and one trinomial,13-1-1-Ap-C-poly-definite-jms-2.pg; same question with powers and intervals slightly adjusted,,
13-1-2-Ap-C,13-1-2,Ap,C,3,apply the FTC to evaluate definite integrals of exponential functions,,,"13-1-2-Ap-C-exp-definite-jms-1.pg; evaluate to integrals of exponential functions; one e^x + c, one e^x + e^-x",13-1-2-Ap-C-exp-ln-definite-jms-2.pg; exp and log (integral of 1/x); modified from ver 1,,
13-1-3-Ap-C,13-1-3,Ap,C,3,apply the FTC to evaluate definite integrals of trigonometric functions,,,"13-1-3-Ap-C-trig-definite-jms-1.pg; integral of Acos+B and Asin+Bcos, first quardrant special angles only, second from 0 to positive angle","13-1-3-Ap-C-trig-definite-jms-2.pg; integral of Acos and Asin first quardrant special angles only, first - to + (symmetric); second from 0 to positive angle",,
13-1-4-Ap-C,13-1-4,Ap,C,3,apply the FTC to evaluate definite integrals of piecewise functions,,,13-1-4-Ap-C-pw-def-int-1-jms.pg; numeric; linear function and scalar multiple of square root,13-1-4-Ap-C-pw-def-int-2-jms.pg; numeric; polynomial and 1/sqrt(x) + const,13-1-4-Ap-C-pw-def-int-3-jms.pg; numeric; exponential and cos,13-1-4-Ap-C-pw-def-int-4-jms.pg; numeric; exponential(-x) and sin
13-2-1-Ap-C,13-2-1,Ap,C,3,apply the FTC and integration by substitution to evalute definite integrals,,,13-2-1-Ap-C-definite-sub-jms-1.pg; numeric; e^sqrt(x)/sqrt(x) and (ln(x) + r)^2/x,13-2-1-Ap-C-definite-sub-jms-2.pg; numeric; xcos(x^2+a) and cos(x)sqrt(sin(x)),13-2-1-Ap-C-definite-sub-jms-3-abstract.pg; numeric; uknown function; use substitution twice to relate to given integrals,
13-2-2-U-C,13-2-2,U,C,2,recognize that the limits of integration in a definite integral change when using a substitution,,,"13-2-2-U-C-def-sub-mc-1-jms.pg; multiple choice; u=ax+b; integrand is unknown function; simple distractors (error in differential, not changing limits)",13-2-2-U-C-def-sub-mc-2-jms.pg; multiple choice; u = ax^2 and unknown function,13-2-2-U-C-def-sub-mc-3-jms.pg; multiple choice; u = sin(x) with square root of sin^2+b,13-2-2-U-C-def-sub-mc-4-jms.pg; multiple choice; u = ln(x) + b with squre root of ln(x) + b
13-3-1-Ap-I,13-3-1,Ap,I,3,apply the FTC to compute derivatives of functions presented as integrals,,,13-3-1-Ap-I-der-int-jms-1.pg; function; derivative of a definite and intedefinite integral; cannot integrate either of the functions presented with MATH 249 techniques,13-3-1-Ap-I-der-int-jms-2.pg; function; derivative of a definite and intedefinite integral; cannot integrate either of the functions presented with MATH 249 techniques; order reversed from other verson,,
13-3-2-Ap-I,13-3-2,Ap,I,3,apply the FTC and the chain rule to compute derivatives of functions presented as integrals,,,13-3-2-Ap-I-ftc-chain-1-jms.pg; function; one is with x^2 and the other has x in upper and lower limits of integration,"13-3-2-Ap-I-ftc-chain-2-jms.pg; function;  one has e^x as upper limit, the second requires chain rule twice",,
14-0-0-C,14-0-0,,C,,"define and identify improper integrals, evaluate two types of improper integrals by direct computation and comparison",High-level outcome (for course outline); short name: #14-0-0-C; improper integrals,,No. of 14-0-0-C problems --- >>>,9,,
14-2-2-Ap-A,14-2-2,Ap,A,3,use the Comparison Test to evaluate the convergence/divergence of explicit improper integrals,,,14-2-2-Ap-A-use-comparison-test-AT.pg,,,
14-0-1-R-C,14-0-1,R,C,1,identify an integral as being improper because it is over an infinite interval,,,14-0-1-R-C-infinite-interval-AT.pg,,,
14-0-2-U-C,14-0-2,U,C,2,identify an integral as improper because the function has a vertical asymptote in the domain of integration (algebraically),,,14-0-2-U-C-asymptote-algebraic-AT.pg,,,
14-0-3-U-C,14-0-3,U,C,2,identify an integral as improper because the function has a vertical asymptote in the domain of integration (graphically),,,14-0-3-U-C-asymptote-graphic-2-AT.pg,,,
14-0-4-R-I,14-0-4,R,I,1,state the definition of convergence/divergence for an improper integral,,,14-0-4-R-I-improper-conv-div-AT.pg;,,,
14-1-1-Ap-I,14-1-1,Ap,I,3,compute improper integrals over an infinite interval,,,14-1-1-Ap-I-compute-improper-int-inf-AT.pg,,,
14-1-2-Ap-I,14-1-2,Ap,I,3,compute improper integrals over a finite interval where a function has a vertical asymptote,,,14-1-2-Ap-I-compute-improper-int-AT.pg; ,,,
14-2-1-R-I,14-2-1,R,I,1,state the Comparison Test for improper integrals,,,14-2-1-R-I-comparison-test-def-AT.pg,,,
14-2-3-Ap-I,14-2-3,Ap,I,3,use the Comparison Test to evaluate the convergence/divergence of abstract improper integrals,,,14-2-3-Ap-I-abstract-comparison-test-AT.pg,,,
