CLO Identifier (auto),CLO Number (edit),"Bloom's Taxonomy (R=Remembering, U=Understanding, Ap=Applying, An=Analyzing, E=Evaluating, C=Creating)","CLO Level (C=core, I=intermediate, A=advanced) (edit)",WeBWork Level Classification of CLO,Course Learning Outcome (CLO),Notes / topics / questions,Week / Meeting,WeBWork 1 (question name and type),WeBWork 2  (question name and type), WeBWork 3  (question name and type) ... 2 Q's each should be enough for most outcomes ...,WeBWork 4
11-5-1-Ap-C,11-5-1,Ap,C,3,implement integration by substitution to evaluate antiderivatives of composite functions,,,11-5-1-Ap-C-sub-anti-der-1-jms.pg; function; indicate best subsitution to make and evaluate indefinite integral (large power of binomial),"11-5-1-Ap-C-sub-anti-der-2-jms.pg; function; indicate best substiution, differential and evaluate indefinite integral (large power of sin or cos)","11-5-1-Ap-C-sub-anti-der-3-jms.pg; function; indicate best substitution, differential and evaluate indefinite integral (square root of e^x + b or ln(x) + b)",11-5-1-Ap-C-sub-anti-der-4-mc-jms.pg; multiple choice; u-sub with unknown function
11-5-2-U-C,11-5-2,U,C,2,explain the relationship between the chain rule and integration by substitution,,,11-5-2-U-C-chain-sub-jms.pg; dropdown; indidiate that substitution is antiderivative version of chain rule,,,
11-5-4-Ap-C,11-5-4,Ap,C,3,compute the differential of a given function ,,,11-5-4-Ap-C-dx-1-jms.pg; function; given exp and trig function; compute du with chain rule; dx added as a varible so the learner must include it,11-5-4-Ap-C-dx-2-jms.pg; function; product rule and chain rule with ln; compute du with chain rule; dx added as a varible so the learner must include it,11-5-4-Ap-C-dx-3-jms.pg; function; square root of polynomial; compute du with chain rule; dx added as a varible so the learner must include it,
11-3-1-Ap-I,11-3-1,Ap,I,3,solve initial value problems given information about the second derivative of a function,,,"11-3-1-Ap-I-ivp-1-jms.pg; function; given f''(x), f'(0) and f(0) find f(x); f''(x) = asin(x) +bcos(x)","11-3-1-Ap-I-ivp-2-jms.pg; function; given f''(x), f'(0) and f(0) find f(x); f''(x) = ae^x +be^(-x)","11-3-1-Ap-I-ivp-3-jms.pg; function; given f'(x) and f(a), find f(x); a*sqrt(x) + b/sqrt(x)",
11-5-3-R-I,11-5-3,R,I,1,state the definition of the differential of a function,Related to 4-3-1-Ap-I; differential approximation; Need to know this in order to complete 11-5-4-Ap-C outcomes,,,,,
12-0-0-C,12-0-0,,C,,explore the process of estimating areas under the graph of a function and develop the definition of the Riemann integral,High-level outcome (for course outline); short name: #12-0-0-C; area,,No. of 12-0-0-C problems --- >>>,14,Make 3 each here!,
12-1-1-R-A,12-1-1,R,A,1,state the precise definition of the Riemann integral of a continuous function,,,,,,
12-1-3-U-A,12-1-3,U,A,2,recognize when a given limit of a sum is the definite integral of a function,,,,,,
12-1-2-U-C,12-1-2,U,C,2,state the intuitive interpretation of the definite integral in terms of areas,,,"12-1-2-U-C-def-int-idea-1-jms.pg; multiple choice; does not use the phrase ""net area""",12-1-2-U-C-def-int-idea-2-jms.pg; multiple choice; asks about |f(x)|,12-1-2-U-C-application-1-jms.pg; interpret meaning of definite integral,
12-2-1-An-C,12-2-1,An,C,4,"interpret the definite integral on an interval [a, x] as a function of x",,,12-2-1-An-C-area-function-1-jms.pg; dropdown and numeric; indicate that A(x) is a funciton of x and find two of its values given a graph of f,"12-2-1-An-C-area-function-2-jms.pg; dropdown and numeric; integral of absolute value; indicate that A(x) is a function of x, and find two of its values given graph of f",,
